0M3KEG,JN98ET
2E0LMI,IO91AQ
4O6ZD,JN92LJ
4U1A,JN88EF
4X1ST,KM72KD
7S9A,JO67QS
9A/OK7SE,JN74MK
9A/S51BW/P,JN75PS
9A/S57KM,JN74IS
9A0BB,JN85EI
9A0BR,JN83GI
9A0C,JN85AO
9A0FF,JN75VS
9A0V,JN95PE
9A1AAY,JN85PJ
9A1B,JN85JP
9A1CBM,JN83FO
9A1CCU,JN85LI
9A1CMS,JN86DM
9A1CRS,JN95AE
9A1MC,JN85WL
9A1N,JN85LI
9A1O,JN95IS
9A1W,JN75ST
9A1Z,JN86FJ
9A2C,JN95IN
9A2EY,JN65TH
9A2EY,JN65UG
9A2EY,JN75XV
9A2EY,JN85AT
9A2GA,JN75WR
9A2KI,JN95BF
9A2L,JN86BE
9A2MF,JN65TJ
9A2RD,JN65TI
9A2SB,JN95GM
9A2U,JN75RP
9A2UV,JN95GM
9A2WY,JN85QT
9A2YF,JN85OO
9A2YF,JN85TI
9A3AQ,JN75WS
9A3B,JN95MM
9A3DF,JN86HF
9A3JN,JN85EL
9A3LN,JN95IL
9A3MR,JN73TT
9A3NC,JN75BA
9A3NC,JN75BB
9A3QB,JN95HN
9A3RU,JN85LI
9A3SM,JN85FW
9A3ST,JN75BB
9A3TN,JN85UH
9A3TU,JN95EH
9A4AW,JN85KL
9A4C,JN85RJ
9A4CW,JN95AE
9A4K,JN86FJ
9A4M,JN85EI
9A4PB,JN75DI
9A4QV,JN75BA
9A4QV,JN75BB
9A4RM,JN95LI
9A4V,JN85WL
9A4V,JN95MM
9A4WW,JN85KV
9A5CCM,JN74UT
9A5CCM,JN83CW
9A5G,JN75EI
9A5M,JN95GO
9A5M,JN95IS
9A5RJ,JN86EL
9A5RY,JN95AD
9A5ST,JN83FM
9A5THR,JN95IN
9A5Y,JN85OO
9A6A,JN75WT
9A6A,JN83GE
9A6AR,JN64VV
9A6C,JN73WS
9A6C,JN73XS
9A6D,JN85AO
9A6K,JN95GO
9A7B,JN83GJ
9A7D,JN95CI
9A7R,JN75TN
9A7RA,JN85HU
9A7RR,JN74LT
9A7RR,JN74UT
9A7RR,JN75XV
9A8D,JN95LM
9A9O,JN85XE
9A9R,JN85OQ
9A9Z,JN75XV
9H1PI,JM75FW
DA0FF,JO40XL
DA0N,JN58VD
DA2DX,JO31UO
DA2KT,JN68GI
DB2NP,JO50VF
DB3LO,JO51MV
DC2VE,JN39KG
DC4A,JN59SV
DC6CX/P,JO31SE
DC8SG,JO40EA
DC8YZ,JN59MH
DD1LD/P,JN58VD
DD2ML,JN68GI
DD5DX,JO61CA
DD6OM,JO62OQ
DD7EQ,JO31IG
DD7XW,JN37WX
DF0A,JN58KI
DF0A/P,JN58KH
DF0AWG,JO52IJ
DF0FY,JO53LQ
DF0G,JN68KW
DF0HQ,JO50LQ
DF0LU,JO43UA
DF0MU,JO32PC
DF0RE,JO32RG
DF0SX,JN48MW
DF0TEC,JO73CE
DF0VK,JO31TO
DF0XG,JO51KW
DF0YY,JO62GD
DF1AK,JO52GG
DF1BO,JO30SK
DF1DT,JO31EE
DF1HC,JO43UQ
DF1HC/P,JO53WH
DF1HF,JO43VF
DF1HF,JO43WJ
DF1JM,JO30FQ
DF1LON,JO31HG
DF1PU,JO40AO
DF1QR,JO31LJ
DF1QR,JO32PC
DF2AJ,JN48MW
DF2CH,JO31OL
DF2ET/P,JO31OM
DF2FQ,JN58UB
DF2IAX,JN48EV
DF3OL,JO52EJ
DF3TE,JO30JP
DF4IAE,JN49IK
DF4IAO,JN48EX
DF4IAO,JN48WM
DF4MAA,JN58WH
DF4NR/P,JO40XJ
DF4OR,JN49CD
DF4WO,JO30JG
DF4WO,JO30KG
DF4XF,JO60LP
DF4XF,JO60LQ
DF4XG,JO43WI
DF4ZL,JN49GX
DF5CK,JN58UA
DF5GO/P,JO62QK
DF5GO/P,JO62RJ
DF5RF,JO40GD
DF6LH,JO30KN
DF6LH/P,JO30KN
DF6WE,JO31GO
DF6YC,JO41JW
DF7DD,JO31QR
DF7DJ,JO31TO
DF7NX,JN49MW
DF7RG,JN68GH
DF7RG,JN68HG
DF7TS,JN48RN
DF8AE,JO41GX
DF8CV,JN69DN
DF8KY,JO30IN
DF8TM,JN49QH
DF8V,JN39LH
DG0PF,JO50KQ
DG0PF,JO50LQ
DG1BHA,JO73CE
DG1E,JO31LE
DG1HXJ,JN58TE
DG2NES,JO60DJ
DG3BZ,JO31MI
DG5BRE,JO62VM
DG5NFF,JN59MA
DG5NFF,JO50DO
DG5RC,JN68HV
DG5RC,JN68KW
DG6ME,JO51KV
DG8WA,JO40BM
DH1AKY,JO50JP
DH1AKY,JO50LQ
DH1AKY,JO61GI
DH1AKY/P,JO50JP
DH1DM,JO61TB
DH1GSD,JO52TD
DH1NAI,JO60DJ
DH3KR,JO30EV
DH3NAN,JO50NC
DH5CW,JN49HU
DH5EAM,JO31FG
DH5NAH,JN58RJ
DH5YM,JO60OM
DH5YM,JO61UC
DH6DAO,JO41CN
DH7AMF,JO62XG
DH7AMF/P,JO72AG
DH7FFE,JO40FC
DH8AF,JO32PC
DH8BQA,JO73CE
DH8IAB,JO30NO
DH8WE,JO50TJ
DH9ET,JN57TS
DH9FAV,JN49HX
DH9NFM,JO50RF
DJ0MY,JN49KU
DJ1KW,JN68CW
DJ2DA,JO61PG
DJ2MX,JN58TC
DJ2SX/P,JO63GS
DJ2XW,JO42XD
DJ3AK,JO52GJ
DJ3AM,JO32RG
DJ3AX,JO50HU
DJ3CE/P,JN49ML
DJ3JJ,JN48JS
DJ3QB,JO32RG
DJ3WE,JN58UB
DJ4MH,JO42BB
DJ4WT,JN49EL
